VMTranslator.py, Info, starting version V1.10
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [pop pointer 1           // that = argument[1]]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push constant 0]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [pop that 0              // first element in the series = 0]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, conversion of [push constant 1]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [pop that 1              // second element in the series = 1]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push argument 0]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [push constant 2]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [sub]...
parseALCommand(), Trace, parsing [sub]...
parseBinaryALCmd(), Trace, binary command parsing [sub]...
parseVMFile(), Trace, conversion of [pop argument 0          // num_of_elements -= 2 (first 2 elements are set)]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [label MAIN_LOOP_START]...
parseLabelCmd(), Trace, label declaration [FibonacciSeries:MAIN_LOOP_START]...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push argument 0]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [if-goto COMPUTE_ELEMENT // if num_of_elements > 0, goto COMPUTE_ELEMENT]...
parseIfGotoCmd(), Trace, parsing [if-goto COMPUTE_ELEMENT]...
parseVMFile(), Trace, conversion of [goto END_PROGRAM        // otherwise, goto END_PROGRAM]...
parseGotoCmd(), Trace, parsing goto command [goto END_PROGRAM]...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [label COMPUTE_ELEMENT]...
parseLabelCmd(), Trace, label declaration [FibonacciSeries:COMPUTE_ELEMENT]...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push that 0]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [push that 1]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [add]...
parseALCommand(), Trace, parsing [add]...
parseBinaryALCmd(), Trace, binary command parsing [add]...
parseVMFile(), Trace, conversion of [pop that 2              // that[2] = that[0] + that[1]]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push pointer 1]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [push constant 1]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [add]...
parseALCommand(), Trace, parsing [add]...
parseBinaryALCmd(), Trace, binary command parsing [add]...
parseVMFile(), Trace, conversion of [pop pointer 1           // that += 1]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push argument 0]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [push constant 1]...
parseMemAccessCommand(), Trace, push() command processing...
parseVMFile(), Trace, conversion of [sub]...
parseALCommand(), Trace, parsing [sub]...
parseBinaryALCmd(), Trace, binary command parsing [sub]...
parseVMFile(), Trace, conversion of [pop argument 0          // num_of_elements--]...
parseMemAccessCommand(), Trace, pop() command processing...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [goto MAIN_LOOP_START]...
parseGotoCmd(), Trace, parsing goto command [goto MAIN_LOOP_START]...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [label END_PROGRAM]...
parseLabelCmd(), Trace, label declaration [FibonacciSeries:END_PROGRAM]...
parseVMFile(), Trace, closing [ProgramFlow\FibonacciSeries\FibonacciSeries.vm]...
parseVMFile(), Trace, parsing errors count : 0
VMTranslator.py, Info, 0 conversion error(s) for [ProgramFlow\FibonacciSeries\FibonacciSeries.vm]
VMTranslator.py, Info, VM namespaces : ['FibonacciSeries']
VMTranslator.py, Info, 1 VM file(s) processed, 0 error(s)
